TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	18/10/09
TIME	12:00:59
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	1
XUNITS	SEC
YUNITS	INTENSITY
FIRSTX	0.0000
LASTX	30.0000
NPOINTS	31
FIRSTY	25.24530
MAXY	40.88970
MINY	25.24530
XYDATA
0.0000	25.2453
1.0000	26.0648
2.0000	26.5641
3.0000	27.1876
4.0000	27.6843
5.0000	27.8184
6.0000	28.497
7.0000	29.1171
8.0000	29.5529
9.0000	30.6191
10.0000	30.9378
11.0000	31.2149
12.0000	31.3045
13.0000	32.3271
14.0000	32.8743
15.0000	33.4181
16.0000	33.3754
17.0000	33.7258
18.0000	34.9494
19.0000	35.2792
20.0000	35.8931
21.0000	36.5133
22.0000	36.5283
23.0000	37.3986
24.0000	37.798
25.0000	38.3527
26.0000	38.8161
27.0000	39.0376
28.0000	39.653
29.0000	40.0857
30.0000	40.8897
